state,retail_turnover,unemployment_rate
Australian Capital Territory,674.4,3.8
New South Wales,11237.6,3.5
Northern Territory,356.0,5.3
Queensland,7492.1,6.2
South Australia,2314.2,4.800000000000001
Tasmania,699.3,3.85
Victoria,9422.5,3.3
Western Australia,4155.8,3.75
